Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
Step Up Collection,5,650939748.0,0.0
The Invisible Man (Universal Series),5,1040000.0,0.0
Dirty Harry Collection,5,189622693.0,0.0
The Terminator Collection,5,1845327738.0,78311340.4
Hercules TV Movies,5,0.0,0.0
Highlander Collection,5,74099948.0,1123478.2
Mythica Collection,5,0.0,0.0
Torrente Collection,5,11672363.0,253217038.0
Osobennosti Natsionalnoy ... - Collection,5,0.0,0.0
Home Alone Collection,5,914758871.0,0.0
The Hannibal Lecter Anthology,5,924422301.0,2.0
Sleepaway Camp Collection,5,0.0,5000000.0
Tremors Collection,5,48572000.0,0.0
Sartana Collection,5,0.0,0.0
The Yakuza Papers Collection,5,0.0,2985170.6
Die Hard Collection,5,1435086362.0,75470110.6
Mission: Impossible Collection,5,2778977995.0,0.0
Slayers - Movie Collection,5,0.0,0.0
Bring It On Collection,5,90449929.0,53091423.0
Shrek Collection,5,2955807008.0,6540897.8
The Jack Ryan Collection,5,836688411.0,0.0
Beck Collection,5,0.0,18350640.4
American Ninja Collection,5,10499694.0,0.0
The Eye Collection,5,56309766.0,20116935.8
Tales from the Crypt Collection,5,5600000.0,0.0
Pirates of the Caribbean Collection,5,4521576826.0,44562884.4
Scary Movie Collection,5,896555030.0,1300000.0
Return of the Living Dead Collection,5,23497131.0,32256321.2
Final Fantasy Collection,4,85401810.0,183883625.75
American Pie Collection,4,989475386.0,0.0
The Scorpion King Collection,4,165333180.0,0.0
Lonesome Dove Collection,4,0.0,98958478.5
Lilo & Stitch Collection,4,145771527.0,0.0
Tales of the Four Seasons,4,0.0,10121259.75
Rambo Collection,4,727873237.0,0.0
The Dick Proenneke Collection,4,0.0,9000000.0
The Olsen Gang Collection,4,0.0,0.0
The Magnificent Seven Collection,4,4905000.0,0.0
Once Upon a Time in China Collection,4,61766696.0,0.0
Asterix and Obelix Collection,4,245671613.0,0.0
Diary of a Wimpy Kid Collection,4,265350212.0,0.0
Scooby-Doo Collection,4,457117536.0,0.0
Rudolph the Red-Nosed Reindeer Collection,4,0.0,0.0
Critters Collection,4,16980525.0,103774732.0
Airport Collection,4,190504839.0,8284904.5
The Wolf Man (Universal Series),4,0.0,73293248.5
Dracula (Universal Series),4,1012189.0,0.0
Street Fighter Collection,4,0.0,0.0
The Mummy (Hammer Series),4,0.0,0.0
Hamilton Collection,4,3142763.0,601355.0
Scanners Collection,4,28451752.0,0.0
Iron Eagle Collection,4,0.0,0.0
One Missed Call Collection,4,0.0,3122617.5
Spy Kids Collection,4,550233830.0,151214.0
Behind Enemy Lines Collection,4,91753202.0,12960669.75
Cinderella Story Collection,4,70067909.0,3167825.0
The Cutting Edge Collection,4,25105517.0,0.0
The Chronicles of Riddick Collection,4,267297687.0,0.0
"Ilsa, She Wolf of the SS Collection",4,0.0,0.75
Futurama Collection,4,0.0,0.0
Alvin and the Chipmunks Collection,4,1380957626.0,0.0
Taxi Collection,4,126491626.0,328557.5
Corto Maltese,4,0.0,0.0
Shaft Collection,4,130776116.0,0.0
Open Season Collection,4,197309027.0,0.0
Mad Max Collection,4,539689391.0,133521308.75
The Toxic Avenger Collection,4,0.0,22612482.25
Ringu Collection,4,27377073.0,2406107.5
The Benji Collection,4,0.0,0.0
Simon Brenner Collection,4,0.0,0.0
The Sinbad Collection,4,27000000.0,0.0
American Pie (Spin-off) Collection,4,0.0,0.0
The Gamers Collection,4,0.0,400000.0
Revenge of the Nerds Collection,4,22642033.0,0.0
Flatfoot Collection,4,0.0,654125.75
Undisputed Collection,4,12398628.0,853124.25
Nuke 'Em High Collection,4,0.0,0.0
The Dirty Dozen Collection,4,45300000.0,0.0
Trancers Collection,4,0.0,9961586.0
St. Trinian's Collection,4,0.0,0.0
Billy Jack Collection,4,36000000.0,0.0
Harry Palmer Collection,4,0.0,0.0
The Transporter Collection,4,310705790.0,9933173.25
Meatballs Collection,4,0.0,25833753.25
Caprona Collection,4,0.0,0.0
Madagascar Collection,4,2257054393.0,0.0
Ghoulies Collection,4,35000000.0,0.0
Vixens Collection,4,6000000.0,559660210.25
[REC] Collection,4,59265680.0,4284325.5
Jurassic Park Collection,4,3031484143.0,0.0
Dragon Ball Collection,4,0.0,652000.0
3 Ninjas Collection,4,0.0,0.0
Eating Out Series,4,0.0,438494.75
Poison Ivy Collection,4,0.0,12890676.25
"Murder, She Baked Collection",4,0.0,343001400.5
Nemesis Collection,4,0.0,71982048.5
Werner Collection,4,0.0,1000000.0
House Party Collection,4,26386000.0,0.0
Alien Collection,4,610021801.0,0.0
Ator Collection,4,0.0,51464728.75
Scream Collection,4,604382926.0,4300231.25
Indiana Jones Collection,4,1983733810.0,2231900.0
The Karate Kid Collection,4,260702809.0,0.0
RoboCop Collection,4,352066348.0,0.0
The Doctor Series,4,0.0,0.0
Lethal Weapon Collection,4,955237243.0,0.0
Fu Manchu Collection,4,0.0,130820333.25
The Whistler collection,4,0.0,0.0
Starship Troopers Collection,4,121214377.0,0.0
The Crow Collection,4,111917287.0,79848485.75
"Ninja, Band of Assassins Collection",4,0.0,29985865.25
Paranormal Investigations Collection,4,0.0,44005509.5
Anaconda Collection,4,207878665.0,5245246.5
The Lion King Collection,4,788241776.0,52581934.5
Bionicle Collection,4,0.0,0.0
Sharknado Collection,4,0.0,0.0
The Omen Collection,4,107912717.0,65897853.75
Confessions Collection,4,0.0,17516977.25
Star Trek: The Next Generation Collection,4,455312826.0,0.0
Justice League (Animated) Collection,4,5155325.0,8538275.25
Recep İvedik Serisi,4,154851495.0,44758447.75
Naruto Collection,4,17322136.0,133428284.75
Wishmaster Collection,4,15719109.0,614973.75
Swan Princess Series,4,10045302.0,0.0
Deathstalker Collection,4,8890685.0,0.0
The Jaws Collection,4,798406075.0,7509876.5
The Visitors Collection,4,0.0,33643369.25
Fievel Collection,4,125308043.0,122843271.75
Bloodsport Collection,4,12490470.0,40750.0
Batman Collection,4,1266085190.0,27584510.75
Casper Collection,4,287928194.0,0.0
Halloweentown Collection,4,0.0,0.0
The Nancy Drew Collection (Bonita Granville),4,0.0,46515679.5
House Collection,4,9538897.0,0.0
Hababam Sınıfı Collection,4,0.0,57721182.0
DragonHeart Collection,4,115267375.0,0.0
The Prophecy Collection,4,16.0,0.0
TekWar Collection,4,0.0,0.0
Atlas Shrugged Collection,4,5474079.0,30170.0
The Hunger Games Collection,4,2944162634.0,19372904.5
Species Collection,4,132539663.0,325000.0
Mothra Collection,4,0.0,8757188.75
Killer Tomatoes! Collection,4,0.0,4245131.25
Saints and Soldiers Collection,3,0.0,202416130.0
A Better Tomorrow Collection,3,4469460.0,0.0
Flodder Collection,3,0.0,0.0
The Yes Men Collection,3,0.0,71175245.33
Zenon Collection,3,0.0,0.0
Mark Collection,3,0.0,25300736.0
Ong Bak Collection,3,11277041.0,167272.67
