,Franchise,Movie_Count,revenue,ganancia_promedio_por_franquicia
114,Vääpeli Körmy - Collection,5.0,0.0,64653354.0
115,Schoolgirl Report Collection,5.0,0.0,0.0
116,Planet of the Apes Original Collection,5.0,83288644.0,0.0
117,The Bourne Collection,5.0,1637416431.0,0.0
118,Blondie Collection,5.0,0.0,7687189.4
119,The Mummy (Universal Series),5.0,0.0,191527469.0
120,Superman Collection,5.0,976908540.0,0.0
121,Six Degrees of Celebration Collection,5.0,22772019.0,82949316.0
122,Dragon Ball Z OVA Collection,5.0,0.0,0.0
123,Subspecies Collection,5.0,0.0,18854213.4
124,The Exorcist Collection,5.0,589331619.0,66000000.0
125,Prom Night Collection,5.0,32275991.0,2269664.8
126,Fist of the North Star: The Legends of the True Savior,5.0,862.0,53489430.0
127,Lake Placid Collection,5.0,56870414.0,0.0
128,Dr. Dolittle Collection,5.0,470560949.0,0.0
129,The Adventures of Antoine Doinel,5.0,0.0,0.0
130,Three Heroes Collection,5.0,24209008.0,39176421.0
131,Phantasm Collection,5.0,19271320.0,6386149.0
132,The Twilight Collection,5.0,3342107290.0,0.0
133,Air Bud Collection,5.0,33368615.0,0.0
134,Step Up Collection,5.0,650939748.0,0.0
135,The Invisible Man (Universal Series),5.0,1040000.0,0.0
136,Dirty Harry Collection,5.0,189622693.0,0.0
137,The Terminator Collection,5.0,1845327738.0,78311340.4
138,Hercules TV Movies,5.0,0.0,0.0
139,Highlander Collection,5.0,74099948.0,1123478.2
140,Mythica Collection,5.0,0.0,0.0
141,Torrente Collection,5.0,11672363.0,253217038.0
142,Osobennosti Natsionalnoy ... - Collection,5.0,0.0,0.0
143,Home Alone Collection,5.0,914758871.0,0.0
144,The Hannibal Lecter Anthology,5.0,924422301.0,2.0
145,Sleepaway Camp Collection,5.0,0.0,5000000.0
146,Tremors Collection,5.0,48572000.0,0.0
147,Sartana Collection,5.0,0.0,0.0
148,The Yakuza Papers Collection,5.0,0.0,2985170.6
149,Die Hard Collection,5.0,1435086362.0,75470110.6
150,Mission: Impossible Collection,5.0,2778977995.0,0.0
151,Slayers - Movie Collection,5.0,0.0,0.0
152,Bring It On Collection,5.0,90449929.0,53091423.0
153,Shrek Collection,5.0,2955807008.0,6540897.8
154,The Jack Ryan Collection,5.0,836688411.0,0.0
155,Beck Collection,5.0,0.0,18350640.4
156,American Ninja Collection,5.0,10499694.0,0.0
157,The Eye Collection,5.0,56309766.0,20116935.8
158,Tales from the Crypt Collection,5.0,5600000.0,0.0
159,Pirates of the Caribbean Collection,5.0,4521576826.0,44562884.4
160,Scary Movie Collection,5.0,896555030.0,1300000.0
161,Return of the Living Dead Collection,5.0,23497131.0,32256321.2
162,Final Fantasy Collection,4.0,85401810.0,183883625.75
163,American Pie Collection,4.0,989475386.0,0.0
164,The Scorpion King Collection,4.0,165333180.0,0.0
165,Lonesome Dove Collection,4.0,0.0,98958478.5
166,Lilo & Stitch Collection,4.0,145771527.0,0.0
167,Tales of the Four Seasons,4.0,0.0,10121259.75
168,Rambo Collection,4.0,727873237.0,0.0
169,The Dick Proenneke Collection,4.0,0.0,9000000.0
170,The Olsen Gang Collection,4.0,0.0,0.0
171,The Magnificent Seven Collection,4.0,4905000.0,0.0
172,Once Upon a Time in China Collection,4.0,61766696.0,0.0
173,Asterix and Obelix Collection,4.0,245671613.0,0.0
174,Diary of a Wimpy Kid Collection,4.0,265350212.0,0.0
175,Scooby-Doo Collection,4.0,457117536.0,0.0
176,Rudolph the Red-Nosed Reindeer Collection,4.0,0.0,0.0
177,Critters Collection,4.0,16980525.0,103774732.0
178,Airport Collection,4.0,190504839.0,8284904.5
179,The Wolf Man (Universal Series),4.0,0.0,73293248.5
180,Dracula (Universal Series),4.0,1012189.0,0.0
181,Street Fighter Collection,4.0,0.0,0.0
182,The Mummy (Hammer Series),4.0,0.0,0.0
183,Hamilton Collection,4.0,3142763.0,601355.0
184,Scanners Collection,4.0,28451752.0,0.0
185,Iron Eagle Collection,4.0,0.0,0.0
186,One Missed Call Collection,4.0,0.0,3122617.5
187,Spy Kids Collection,4.0,550233830.0,151214.0
188,Behind Enemy Lines Collection,4.0,91753202.0,12960669.75
189,Cinderella Story Collection,4.0,70067909.0,3167825.0
190,The Cutting Edge Collection,4.0,25105517.0,0.0
191,The Chronicles of Riddick Collection,4.0,267297687.0,0.0
192,"Ilsa, She Wolf of the SS Collection",4.0,0.0,0.75
193,Futurama Collection,4.0,0.0,0.0
194,Alvin and the Chipmunks Collection,4.0,1380957626.0,0.0
195,Taxi Collection,4.0,126491626.0,328557.5
196,Corto Maltese,4.0,0.0,0.0
197,Shaft Collection,4.0,130776116.0,0.0
198,Open Season Collection,4.0,197309027.0,0.0
199,Mad Max Collection,4.0,539689391.0,133521308.75
