,Production_Company,Movie_Count,revenue,ganancia_promedio_por_franquicia
651,Walt Disney Television,13.0,0.0,0.0
652,Zenith Entertainment,13.0,4287192.0,329784.0
653,DreamWorks Pictures,13.0,982104018.0,75546462.92
654,Ecosse Films,13.0,176689440.0,13591495.38
655,Eskwad,13.0,119853696.0,9219515.08
656,Zephyr Films,13.0,113919695.0,8763053.46
657,Epic Pictures Group,13.0,0.0,0.0
658,Shapiro-Glickenhaus Entertainment,13.0,313222.0,24094.0
659,Televisió de Catalunya (TV3),13.0,286410839.0,22031603.0
660,Helsinki Filmi Oy,13.0,0.0,0.0
661,Filmirage,13.0,1198346.0,92180.46
662,Renaissance Pictures,13.0,254114760.0,19547289.23
663,Tiger Aspect Productions,13.0,590949014.0,45457616.46
664,Filmlance International AB,13.0,56299.0,4330.69
665,Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,13.0,40034903.0,3079607.92
666,JVC Entertainment Networks,13.0,274440520.0,21110809.23
667,Sixteen Films,13.0,32789379.0,2522259.92
668,Beacon Communications,13.0,935666634.0,71974356.46
669,Bron Studios,13.0,17662022.0,1358617.08
670,Red Hour Films,13.0,970699924.0,74669224.92
671,Dark Horse Entertainment,13.0,1311772407.0,100905569.77
672,Vanguard Films,13.0,86748202.0,6672938.62
673,This Is That Productions,13.0,230353398.0,17719492.15
674,Parts and Labor,13.0,49246670.0,3788205.38
675,Telefilm Canada,13.0,748453.0,57573.31
676,CiBy 2000,13.0,140439225.0,10803017.31
677,Matador Pictures,13.0,26348460.0,2026804.62
678,Odessa Film Studios,13.0,0.0,0.0
679,Cité Films,13.0,0.0,0.0
680,Lemming Film,13.0,17245302.0,1326561.69
681,Les Films Marceau,13.0,752045.0,57849.62
682,Sunswept Entertainment,13.0,4365935726.0,335841209.69
683,Tre Vänner Produktion AB,13.0,3371692.0,259360.92
684,Hyde Park Entertainment,13.0,341569136.0,26274548.92
685,Steamroller Productions,13.0,46044400.0,3541876.92
686,Demarest Films,13.0,108889809.0,8376139.15
687,Cinerenta Medienbeteiligungs KG,13.0,139374220.0,10721093.85
688,ApolloMedia Distribution,13.0,73288315.0,5637562.69
689,Planet Productions,13.0,21051548.0,1619349.85
690,Gracie Films,13.0,1460828360.0,112371412.31
691,QED International,13.0,858023190.0,66001783.85
692,Villealfa Filmproduction Oy,13.0,0.0,0.0
693,Pandora Cinema,12.0,9661442.0,805120.17
694,American Playhouse,12.0,3346013.0,278834.42
695,Radiotelevisão Portuguesa (RTP),12.0,6063556.0,505296.33
696,Film Four International,12.0,788117.0,65676.42
697,Coop 99,12.0,0.0,0.0
698,Bing Crosby Productions,12.0,0.0,0.0
699,British International Pictures (BIP),12.0,0.0,0.0
700,Filmverlag der Autoren,12.0,100.0,8.33
701,Agat Films & Cie,12.0,0.0,0.0
702,Mace Neufeld Productions,12.0,1476027245.0,123002270.42
703,Trilogy Entertainment Group,12.0,187623671.0,15635305.92
704,Jerry Weintraub Productions,12.0,2215701309.0,184641775.75
705,Duplass Brothers Productions,12.0,11838692.0,986557.67
706,HandMade Films,12.0,62264676.0,5188723.0
707,Rising Star,12.0,201673284.0,16806107.0
708,Lawrence Bender Productions,12.0,514017165.0,42834763.75
709,Showbox,12.0,339732931.0,28311077.58
710,Touchwood Pacific Partners 1,12.0,239483532.0,19956961.0
711,Majestic Films International,12.0,573414726.0,47784560.5
712,Mafilm,12.0,0.0,0.0
713,Medienboard Berlin-Brandenburg,12.0,417576824.0,34798068.67
714,Medusa Produzione,12.0,21001563.0,1750130.25
715,Mattel,12.0,19986219.0,1665518.25
716,Anchor Bay Films,12.0,7912432.0,659369.33
717,Studio Trite,12.0,35302080.0,2941840.0
718,Lira Films,12.0,0.0,0.0
719,Art Pictures Studio,12.0,116604976.0,9717081.33
720,ABC Circle Films,12.0,0.0,0.0
721,La Sept-Arte,12.0,0.0,0.0
722,Société Nouvelle de Cinématographie (SNC),12.0,0.0,0.0
723,Toho-Towa,12.0,903782814.0,75315234.5
724,Lorimar Productions,12.0,33299736.0,2774978.0
725,Franco London Films,12.0,119.0,9.92
726,Les Productions Jacques Roitfeld,12.0,29456000.0,2454666.67
727,Lumière,12.0,25762027.0,2146835.58
728,Celtic Films Entertainment,12.0,0.0,0.0
729,Galatea Film,12.0,0.0,0.0
730,Le Studio Canal+,12.0,32383886.0,2698657.17
731,Filmsonor,12.0,0.0,0.0
732,Fono Roma,12.0,741766.0,61813.83
733,Red Chillies Entertainment,12.0,245680775.0,20473397.92
734,Rectangle Productions,12.0,249083.0,20756.92
735,Posa Films,12.0,0.0,0.0
736,Walt Disney Feature Animation,12.0,3095289004.0,257940750.33
737,SCOPE Invest,12.0,5507396.0,458949.67
738,Filmfour,12.0,70027493.0,5835624.42
739,Cosmopolitan Productions,12.0,0.0,0.0
740,O2 Filmes,12.0,50981541.0,4248461.75
741,Living Films,12.0,358589286.0,29882440.5
742,Little Bear,12.0,0.0,0.0
743,Paragon Films Ltd.,12.0,0.0,0.0
744,SND,12.0,67242931.0,5603577.58
745,120dB Films,12.0,2272784.0,189398.67
746,Star Cinema Productions,12.0,525342.0,43778.5
747,Kadokawa Shoten Publishing Co.,12.0,126375695.0,10531307.92
748,Clinica Estetico,12.0,411496321.0,34291360.08
749,Thunder Road Pictures,12.0,1519280024.0,126606668.67
750,Fortissimo Films,12.0,6704003.0,558666.92
751,Sony Pictures Entertainment,12.0,929847412.0,77487284.33
752,Mikado Film,12.0,47524340.0,3960361.67
753,The Global Asylum,12.0,0.0,0.0
754,Hughes Entertainment,12.0,1271052238.0,105921019.83
755,LionsGate,12.0,401516521.0,33459710.08
756,Benaroya Pictures,12.0,90791338.0,7565944.83
757,Sara Films,12.0,0.0,0.0
758,Universal 1440 Entertainment,12.0,0.0,0.0
759,Island Pictures,12.0,21833279.0,1819439.92
760,France2 Cinéma,11.0,5590930.0,508266.36
761,FilmColony,11.0,484612265.0,44055660.45
762,Boll Kino Beteiligungs GmbH & Co. KG,11.0,24260989.0,2205544.45
763,Belarusfilm,11.0,0.0,0.0
764,FilmEngine,11.0,207459316.0,18859937.82
765,Lighthouse Pictures,11.0,1469.0,133.55
766,Paris Film,11.0,173916.0,15810.55
767,Allied Filmmakers,11.0,193430811.0,17584619.18
768,FilmDistrict,11.0,469723435.0,42702130.45
769,TF1 Droits Audiovisuels,11.0,26616622.0,2419692.91
770,Film and Music Entertainment (F&ME),11.0,2270658.0,206423.45
771,Caliber Media Company,11.0,1469.0,133.55
772,Prescience,11.0,80348817.0,7304437.91
773,Dharma Productions,11.0,135750247.0,12340931.55
774,Indigo Film,11.0,47222430.0,4292948.18
775,Télévision Suisse-Romande (TSR),11.0,20217080.0,1837916.36
776,Groundswell Productions,11.0,128792730.0,11708430.0
777,Lucky Red,11.0,12951080.0,1177370.91
778,Silver Screen Partners II,11.0,192442231.0,17494748.27
779,Kinokompaniya CTB,11.0,34637656.0,3148877.82
780,Thin Man Films,11.0,55077942.0,5007085.64
781,Flora Film,11.0,0.0,0.0
782,Amuse Soft Entertainment,11.0,154432387.0,14039307.91
783,Art Linson Productions,11.0,218958838.0,19905348.91
784,Tele München Fernseh Produktionsgesellschaft (TMG),11.0,231910052.0,21082732.0
785,Big Beach Films,11.0,165555054.0,15050459.45
786,Anton Capital Entertainment (ACE),11.0,696433483.0,63312134.82
787,De Line Pictures,11.0,1280085883.0,116371443.91
788,Rai Cinemafiction,11.0,1805884.0,164171.27
789,IMAX,11.0,97715952.0,8883268.36
790,Shooting Gallery,11.0,2505137.0,227739.73
791,Fox Star Studios,11.0,71478994.0,6498090.36
792,Les Films de la Boétie,11.0,0.0,0.0
793,Whitewater Films,11.0,721217.0,65565.18
794,Aramid Entertainment Fund,11.0,47265726.0,4296884.18
795,Filmgate Films,11.0,186460031.0,16950911.91
796,Patagonik Film Group,11.0,0.0,0.0
797,Metrol Technology,11.0,25134536.0,2284957.82
798,ZDF,11.0,0.0,0.0
799,Nippon Television Network Corporation (NTV),11.0,15.0,1.36
800,Mediapro,11.0,322621587.0,29329235.18
801,Eisei Gekijo,11.0,0.0,0.0
802,Hubert Bals Fund,11.0,2800.0,254.55
803,Parkes+MacDonald Image Nation,11.0,1918725992.0,174429635.64
804,Scottish Screen,11.0,75273222.0,6843020.18
805,Showbox Entertainment,11.0,53587419.0,4871583.55
806,Palace Pictures,11.0,106388694.0,9671699.45
807,Kennedy Miller Productions,11.0,1321298675.0,120118061.36
808,Team Todd,11.0,1749599141.0,159054467.36
809,Granada Film Productions,11.0,128767158.0,11706105.27
810,Globo filmes,11.0,93955381.0,8541398.27
811,Enlight Pictures,11.0,594688398.0,54062581.64
812,Bioskop Film,11.0,0.0,0.0
813,Lawrence Gordon Productions,11.0,1170780493.0,106434590.27
814,Sunrise,11.0,0.0,0.0
815,Colorado Film Production,11.0,23639034.0,2149003.09
816,The Samuel Goldwyn Company,11.0,15614765.0,1419524.09
817,Golden Harvest Company Ltd.,11.0,0.0,0.0
818,"Zespól Filmowy ""Kadr""",11.0,0.0,0.0
819,Jolly Film,11.0,14500000.0,1318181.82
820,Firm Films,11.0,729624245.0,66329476.82
821,Société Nouvelle de Cinématographie,11.0,0.0,0.0
822,Comedy Dynamics,11.0,0.0,0.0
823,Alicéléo,11.0,0.0,0.0
824,Screen Yorkshire,11.0,9802391.0,891126.45
825,EMI Films Ltd.,11.0,148257534.0,13477957.64
826,Buster Keaton Productions,11.0,0.0,0.0
827,CBS Entertainment Productions,11.0,10297601.0,936145.55
828,ImageMovers,11.0,2259425488.0,205402317.09
829,Pathé Frères,11.0,0.0,0.0
830,Delux Productions,11.0,38286376.0,3480579.64
831,Samsa Film,11.0,2833802.0,257618.36
832,Channel 4 Television Corporation,11.0,88025781.0,8002343.73
833,Sandollar Productions,11.0,188244181.0,17113107.36
834,Balcázar Producciones Cinematográficas,11.0,161362.0,14669.27
835,Mandalay Entertainment,11.0,410993462.0,37363042.0
836,New Artists Alliance,11.0,19613.0,1783.0
837,Televisió de Catalunya TV3,11.0,61601566.0,5600142.36
838,Red Wagon Entertainment,11.0,1941434730.0,176494066.36
839,Number 9 Films,11.0,72079889.0,6552717.18
840,Reel One Entertainment,11.0,0.0,0.0
841,Enigma Productions,11.0,111642040.0,10149276.36
842,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),11.0,0.0,0.0
843,VOO,11.0,36730062.0,3339096.55
844,Dovzhenko Film Studios,11.0,0.0,0.0
845,"RKO Radio Pictures, Inc.",11.0,0.0,0.0
846,Indian Paintbrush,11.0,362238009.0,32930728.09
847,Epic Productions,11.0,46253440.0,4204858.18
848,Skydance Productions,11.0,3429522204.0,311774745.82
849,Agencja Produkcji Filmowej,11.0,120072577.0,10915688.82
850,Smart Egg Pictures,11.0,122246540.0,11113321.82
851,Kanzaman,11.0,619753321.0,56341211.0
852,TPS Cinéma,11.0,145026809.0,13184255.36
853,View Askew Productions,11.0,186827883.0,16984353.0
854,Universal Television,11.0,0.0,0.0
855,The Archers,11.0,0.0,0.0
856,Les Films Christian Fechner,11.0,0.0,0.0
857,Weed Road Pictures,11.0,2530739106.0,230067191.45
858,Moonlighting Films,11.0,309443925.0,28131265.91
859,The Mark Gordon Company,11.0,1112751720.0,101159247.27
860,Road Movies Filmproduktion,11.0,2992442.0,272040.18
861,Intrepid Pictures,11.0,273949245.0,24904476.82
862,TV2 Danmark,11.0,5900000.0,536363.64
863,CNC,11.0,4610319.0,419119.91
864,Sogepaq,11.0,54193080.0,4926643.64
865,Hyde Park Films,11.0,287535143.0,26139558.45
866,Quickfire Films,11.0,35199985.0,3199998.64
867,Triumph Films,11.0,23675010.0,2152273.64
868,Kim Ki-Duk Film,10.0,17082.0,1708.2
869,PECF,10.0,17808.0,1780.8
870,Film Polski,10.0,0.0,0.0
871,Cube Vision,10.0,672222524.0,67222252.4
872,Cineplex-Odeon Films,10.0,28763497.0,2876349.7
873,Seven Pictures,10.0,6164219.0,616421.9
874,Mainichi Broadcasting System (MBS),10.0,90561321.0,9056132.1
875,B.R.C. Produzione S.r.l.,10.0,17277.0,1727.7
876,Sony Pictures Releasing,10.0,1253365315.0,125336531.5
877,Telewizja Polska (TVP),10.0,120415096.0,12041509.6
878,Lereby Productions,10.0,30641770.0,3064177.0
879,Archipel 35,10.0,7062460.0,706246.0
880,Pure Flix Entertainment,10.0,40218707.0,4021870.7
881,Depth of Field,10.0,421909684.0,42190968.4
882,Rialto Film,10.0,0.0,0.0
883,WDR,10.0,82576878.0,8257687.8
884,Dune Films,10.0,449789979.0,44978997.9
885,Brandman Productions,10.0,0.0,0.0
886,Antena 3 Televisión,10.0,158709716.0,15870971.6
887,Permut Presentations,10.0,487730074.0,48773007.4
888,Tokyo Movie Shinsha (TMS),10.0,553171.0,55317.1
889,RT Features,10.0,47243285.0,4724328.5
890,Lo Wei Motion Picture Company,10.0,0.0,0.0
891,Von Zerneck Sertner Films,10.0,0.0,0.0
892,Quad Productions,10.0,476338947.0,47633894.7
893,Arena Films,10.0,0.0,0.0
894,Dieter Geissler Filmproduktion,10.0,36442475.0,3644247.5
895,Buffalo Gal Pictures,10.0,544656.0,54465.6
896,GreeneStreet Films,10.0,97933750.0,9793375.0
897,Fida cinematografica,10.0,78962.0,7896.2
898,WT2 Productions,10.0,153141687.0,15314168.7
899,20th Century Pictures,10.0,0.0,0.0
900,Maran Film,10.0,0.0,0.0
901,Fair Film,10.0,1314230.0,131423.0
902,Produzioni Atlas Consorziate (P.A.C.),10.0,0.0,0.0
903,Telefónica Studios,10.0,41462125.0,4146212.5
904,Tarantula,10.0,0.0,0.0
905,Televisión Federal (Telefe),10.0,58904944.0,5890494.4
906,Super Écran,10.0,3494070.0,349407.0
907,Shangri-La Entertainment,10.0,214992457.0,21499245.7
908,Irwin Entertainment,10.0,0.0,0.0
909,Province of British Columbia Production Services Tax Credit,10.0,834285665.0,83428566.5
