,Production_Company,Movie_Count,revenue,ganancia_promedio_por_franquicia
1860,Fonds National de Soutien à la Production Audiovisuelle du Luxembourg,6.0,7182.0,1197.0
1861,Fiction Films,6.0,15121165.0,2520194.17
1862,Media Factory,6.0,172470756.0,28745126.0
1863,Producers Sales Organization (PSO),6.0,26061418.0,4343569.67
1864,Paul Schiff Productions,6.0,96241120.0,16040186.67
1865,London Weekend Television (LWT),6.0,221295.0,36882.5
1866,3311 Productions,6.0,6337809.0,1056301.5
1867,Levy-Gardner-Laven,6.0,0.0,0.0
1868,Echo Lake Entertainment,6.0,3249679.0,541613.17
1869,Labrador Films,6.0,0.0,0.0
1870,Robert Greenwald Productions,6.0,0.0,0.0
1871,Razor Film Produktion GmbH,6.0,4704822.0,784137.0
1872,Cinemaundici,6.0,0.0,0.0
1873,DEFA,6.0,0.0,0.0
1874,Scanbox,6.0,19478106.0,3246351.0
1875,Templeheart Films,6.0,0.0,0.0
1876,Central Independent Television,6.0,0.0,0.0
1877,Cerito Films,6.0,0.0,0.0
1878,Campbell Grobman Films,6.0,14708696.0,2451449.33
1879,Jeonwonsa Film,6.0,11.0,1.83
1880,Centropolis Film Productions,6.0,397578382.0,66263063.67
1881,Rhino Films,6.0,32232263.0,5372043.83
1882,Film Ventures International (FVI),6.0,1198346.0,199724.33
1883,Sogecine,6.0,38535221.0,6422536.83
1884,Just Singer Entertainment,6.0,0.0,0.0
1885,Paramount Classics,6.0,60399530.0,10066588.33
1886,Radar Films,6.0,0.0,0.0
1887,Opera Film Produzione,6.0,54947.0,9157.83
1888,Beijing New Picture Film Co. Ltd.,6.0,365569811.0,60928301.83
1889,The Image Organization,6.0,14225876.0,2370979.33
1890,Strand Releasing,6.0,27769.0,4628.17
1891,J. Arthur Rank Organisation,6.0,0.0,0.0
1892,Etalon film,6.0,839228957.0,139871492.83
1893,Studio Eight Productions,6.0,0.0,0.0
1894,Sputnik Oy,6.0,1615018.0,269169.67
1895,GFT Entertainment,6.0,0.0,0.0
1896,Dear Film Produzione,6.0,9000000.0,1500000.0
1897,Odyssey Entertainment,6.0,220719890.0,36786648.33
1898,"Bedford Falls Company, The",6.0,832102837.0,138683806.17
1899,Ascot Film,6.0,0.0,0.0
1900,D.W. Griffith Productions,6.0,0.0,0.0
1901,Adel Productions,6.0,3.0,0.5
1902,Moffitt-Lee Productions,6.0,0.0,0.0
1903,Heimatfilm,6.0,0.0,0.0
1904,Archer Gray,6.0,36648416.0,6108069.33
1905,Ciby 2000,6.0,22955691.0,3825948.5
1906,Image Entertainment,6.0,154170160.0,25695026.67
1907,Office de Radiodiffusion Télévision Française (ORTF),6.0,0.0,0.0
1908,Silver Films,6.0,10188.0,1698.0
1909,Rainforest Films,6.0,444798096.0,74133016.0
1910,PalmStar Entertainment,6.0,15000000.0,2500000.0
1911,Akson Studio,6.0,14723313.0,2453885.5
1912,Transfax Film Productions,6.0,0.0,0.0
1913,Les Films Marcel Pagnol,6.0,0.0,0.0
1914,William Goetz Productions,6.0,0.0,0.0
1915,Battleplan Productions,6.0,10511143.0,1751857.17
1916,Dragon Pictures,6.0,92055.0,15342.5
1917,Turner Entertainment,6.0,0.0,0.0
1918,RAI - Radiotelevisione Italiana,6.0,0.0,0.0
1919,Peninsula Films,6.0,750906547.0,125151091.17
1920,Shoreline Entertainment,6.0,0.0,0.0
1921,Feifer Worldwide,6.0,0.0,0.0
1922,PBS,6.0,13885802.0,2314300.33
1923,Studio Filmowe Zebra,6.0,5576725.0,929454.17
1924,Stone Group Pictures,6.0,126875917.0,21145986.17
1925,The Fyzz Facility,6.0,44235023.0,7372503.83
1926,Hell's Kitchen Films,6.0,66570090.0,11095015.0
1927,ARD,6.0,0.0,0.0
1928,Barwood Films,6.0,191400000.0,31900000.0
1929,Jerry Lewis Productions,6.0,17100000.0,2850000.0
1930,Hunt Stromberg Productions,6.0,0.0,0.0
1931,Clasa Films Mundiales,6.0,0.0,0.0
1932,Imamura Productions,6.0,0.0,0.0
1933,Etb (Euskal Telebista),6.0,2012927.0,335487.83
1934,Gendai Eigasha,6.0,0.0,0.0
1935,Caméra One,6.0,2616503.0,436083.83
1936,Remstar Productions,6.0,31964287.0,5327381.17
1937,Wanda Films,6.0,81170000.0,13528333.33
1938,Lee Daniels Entertainment,6.0,166863934.0,27810655.67
1939,Central Cinema Company Film,6.0,2620000.0,436666.67
1940,Eureka Pictures,6.0,754021.0,125670.17
1941,Babe Films,6.0,10071085.0,1678514.17
1942,Handsomecharlie Films,6.0,267934998.0,44655833.0
1943,FUNimation Entertainment,6.0,73608553.0,12268092.17
1944,Jouror Productions,6.0,147602887.0,24600481.17
1945,Silver Nitrate Pictures,6.0,0.0,0.0
1946,FOZ,6.0,35931369.0,5988561.5
1947,Genre Films,6.0,1868815358.0,311469226.33
1948,Leon Schlesinger Studios,6.0,0.0,0.0
1949,20th Century Fox,6.0,159202963.0,26533827.17
1950,Anagram Produktion,6.0,0.0,0.0
1951,Rizzoli Films,6.0,36782781.0,6130463.5
1952,DMG Entertainment,6.0,288611494.0,48101915.67
1953,Videovision Entertainment,6.0,27330000.0,4555000.0
1954,Dreambridge Films,6.0,4416945.0,736157.5
1955,R.P. Productions,6.0,282995467.0,47165911.17
1956,Craven-Maddalena Films,6.0,323504087.0,53917347.83
1957,Malpaso Company,6.0,247979167.0,41329861.17
1958,Région Nord-Pas-de-Calais,6.0,90491620.0,15081936.67
1959,Delphi II Productions,6.0,43324649.0,7220774.83
1960,Bord Scannan na hEireann / Irish Film Board,6.0,0.0,0.0
1961,New Films International,6.0,0.0,0.0
1962,Cinema 77,6.0,12000000.0,2000000.0
1963,TV4 Sweden AB,6.0,0.0,0.0
1964,Red Om Films,5.0,359500709.0,71900141.8
1965,Knightsbridge Entertainment,5.0,179317009.0,35863401.8
1966,Vlaams Audiovisueel fonds,5.0,32622880.0,6524576.0
1967,La Parti Productions,5.0,8109160.0,1621832.0
1968,Williams Street,5.0,0.0,0.0
1969,The Caddo Company,5.0,8600000.0,1720000.0
1970,Panache Productions,5.0,0.0,0.0
1971,Cold Spring Pictures,5.0,353029966.0,70605993.2
1972,A-1 Pictures,5.0,0.0,0.0
1973,Barunson Film Division,5.0,32073782.0,6414756.4
1974,Kim and Jim Productions,5.0,15385007.0,3077001.4
1975,Climax Films,5.0,0.0,0.0
1976,Lleju Productions,5.0,3606395.0,721279.0
1977,Dean Film,5.0,0.0,0.0
1978,Marty Katz Productions,5.0,72218117.0,14443623.4
1979,KSM Film,5.0,166775.0,33355.0
1980,Square Enix,5.0,7671460.0,1534292.0
1981,Artists Entertainment Complex,5.0,76465856.0,15293171.2
1982,Radio Télévision Suisse (RTS),5.0,126463.0,25292.6
1983,Ministère des Affaires étrangères et du Développement International,5.0,15870798.0,3174159.6
1984,Craig Anderson Productions,5.0,0.0,0.0
1985,Polar Entertainment,5.0,8121547.0,1624309.4
1986,Nintendo,5.0,455331947.0,91066389.4
1987,Laura Ziskin Productions,5.0,2619708942.0,523941788.4
1988,Rodeo Drive,5.0,10743767.0,2148753.4
1989,Martien Holdings A.V.V.,5.0,0.0,0.0
1990,Hartbeat Productions,5.0,32230907.0,6446181.4
1991,Hesperia Films S.A.,5.0,0.0,0.0
1992,21st Century Film Corporation,5.0,7537641.0,1507528.2
1993,One Race Films,5.0,3353871426.0,670774285.2
1994,Telecine,5.0,1620436.0,324087.2
1995,Talkback Thames,5.0,0.0,0.0
1996,HBO Documentary,5.0,21350.0,4270.0
1997,First Run Features,5.0,0.0,0.0
1998,C.G. Silver Film,5.0,0.0,0.0
1999,Teshigahara Productions,5.0,0.0,0.0
2000,Fred Silverman Company,5.0,0.0,0.0
2001,Cecchi Gori Group,5.0,42637401.0,8527480.2
2002,Silverstar Ltd.,5.0,0.0,0.0
2003,Sikelia Productions,5.0,716716903.0,143343380.6
2004,Bomar OOD,5.0,10501938.0,2100387.6
2005,Ponti-De Laurentiis Cinematografica,5.0,12500000.0,2500000.0
2006,Submarine,5.0,0.0,0.0
2007,CCC Filmkunst GmbH,5.0,0.0,0.0
2008,TV Asahi,5.0,0.0,0.0
2009,EuropaCorp.,5.0,3759582.0,751916.4
2010,Splendid Pictures,5.0,439729121.0,87945824.2
2011,Fine Arts Film Company,5.0,0.0,0.0
2012,Interfilm,5.0,0.0,0.0
2013,Eden Rock Media,5.0,88338609.0,17667721.8
2014,Dayday Films,5.0,543448854.0,108689770.8
2015,Koch Media,5.0,1178196.0,235639.2
2016,Northern Lights,5.0,0.0,0.0
2017,Filmhuset AS,5.0,0.0,0.0
2018,Wayne-Fellows Productions,5.0,0.0,0.0
2019,Office Fédéral de la Culture,5.0,126463.0,25292.6
2020,HBO Pictures,5.0,5844868.0,1168973.6
2021,Arena Productions,5.0,0.0,0.0
2022,Magnet Releasing,5.0,28831.0,5766.2
2023,NWR Film Productions,5.0,30638.0,6127.6
2024,Région Provence-Alpes-Côte d'Azur,5.0,25801714.0,5160342.8
2025,Cobalt Media Group,5.0,163586091.0,32717218.2
2026,Fondo para la Producción Cinematográfica de Calidad (FOPROCINE),5.0,0.0,0.0
2027,Blue Star Pictures,5.0,65631882.0,13126376.4
2028,FR3 Films Production,5.0,1942423.0,388484.6
2029,Wild West Picture Show Productions,5.0,651690887.0,130338177.4
2030,George Pal Productions,5.0,0.0,0.0
2031,L.I.F.T. Production,5.0,26696830.0,5339366.0
2032,NHK Enterprises,5.0,0.0,0.0
2033,Twenty Twenty Vision Filmproduktion GmbH,5.0,2454015.0,490803.0
2034,Fridthjof Film,5.0,1632.0,326.4
2035,Pathé Entertainment,5.0,45361000.0,9072200.0
2036,Class 5 Films,5.0,2903870.0,580774.0
2037,Rastar Productions,5.0,99101867.0,19820373.4
2038,Laika Entertainment,5.0,527116173.0,105423234.6
2039,Tecisa,5.0,17277.0,3455.4
2040,"Zespol Filmowy ""Perspektywa""",5.0,0.0,0.0
2041,Start Motion Pictures,5.0,413398217.0,82679643.4
2042,Boyana Film,5.0,0.0,0.0
2043,MPI Media Group,5.0,99534.0,19906.8
2044,BBC Wales,5.0,0.0,0.0
2045,Fideline Films,5.0,0.0,0.0
2046,BCDF Pictures,5.0,12275299.0,2455059.8
2047,Independent Producers,5.0,0.0,0.0
2048,Nordisk Tonefilm,5.0,0.0,0.0
2049,ADR Productions,5.0,0.0,0.0
2050,22h22,5.0,8812494.0,1762498.8
2051,Spelling Entertainment,5.0,27817080.0,5563416.0
2052,Morningstar Films,5.0,0.0,0.0
2053,Fabrica,5.0,28.0,5.6
2054,Mukta Arts Ltd,5.0,0.0,0.0
2055,Votiv Films,5.0,3123963.0,624792.6
2056,Odessa Films,5.0,0.0,0.0
2057,Pierce/Williams Entertainment,5.0,16319587.0,3263917.4
2058,Angry Films,5.0,1110687906.0,222137581.2
2059,Legacy Filmworks,5.0,0.0,0.0
2060,Continental Motion Pictures,5.0,0.0,0.0
2061,Prime Focus,5.0,1650127808.0,330025561.6
2062,Rook Films,5.0,3769715.0,753943.0
2063,Insurgent Media,5.0,99303.0,19860.6
2064,Robot Communications,5.0,11212294.0,2242458.8
2065,Joseph E. Levine Productions,5.0,50750000.0,10150000.0
2066,Malibu Bay Films,5.0,0.0,0.0
2067,Cinétel,5.0,0.0,0.0
2068,Casey Silver Productions,5.0,359117482.0,71823496.4
2069,Norma Productions,5.0,4875316.0,975063.2
2070,RAI,5.0,0.0,0.0
2071,Atípica Films,5.0,7556882.0,1511376.4
2072,Egg Pictures,5.0,124530404.0,24906080.8
2073,Mokép,5.0,0.0,0.0
2074,Media House Capital,5.0,48390.0,9678.0
2075,Seda Spettacoli,5.0,0.0,0.0
2076,Gunn Films,5.0,698068843.0,139613768.6
2077,Allegro-Film,5.0,0.0,0.0
2078,Waverly Films,5.0,874565765.0,174913153.0
2079,Tapioca Films,5.0,197416743.0,39483348.6
2080,Virgin Produced,5.0,471786036.0,94357207.2
2081,Nuova Dania Cinematografica,5.0,0.0,0.0
2082,Helkon Media AG,5.0,0.0,0.0
2083,Pariah Entertainment Group,5.0,318880278.0,63776055.6
2084,Jafar Panahi Film Productions,5.0,0.0,0.0
2085,Oceania Produzioni Internazionali Cinematografiche,5.0,0.0,0.0
2086,Nordisk Film Production,5.0,0.0,0.0
2087,Downtown Filmes,5.0,0.0,0.0
2088,Corona Cinematografica,5.0,0.0,0.0
2089,Long Shong Pictures,5.0,14681661.0,2936332.2
2090,Davis Films,5.0,404690648.0,80938129.6
2091,K. JAM Media,5.0,93820758.0,18764151.6
2092,The New South Wales Film and Television Office,5.0,2077763.0,415552.6
2093,Amuse,5.0,0.0,0.0
2094,Rohfilm,5.0,0.0,0.0
2095,La Sorcière Rouge,5.0,105090.0,21018.0
2096,La Wallonie,5.0,4100000.0,820000.0
2097,Claussen Wöbke Putz Filmproduktion,5.0,794452.0,158890.4
2098,Night and Day Pictures,5.0,22179430.0,4435886.0
2099,Los Hooligans Productions,5.0,91525382.0,18305076.4
2100,C.B. Films S.A.,5.0,0.0,0.0
2101,The Mirisch Production Company,5.0,1500000.0,300000.0
2102,Low Spark Films,5.0,600896.0,120179.2
2103,Motown Productions,5.0,46803337.0,9360667.4
2104,SVT,5.0,34664.0,6932.8
2105,Ce Qui Me Meut Motion Pictures,5.0,47277301.0,9455460.2
2106,Nippon Shuppan Hanbai (Nippan) K.K.,5.0,25000000.0,5000000.0
2107,Jaguar Productions,5.0,0.0,0.0
2108,Euston Films,5.0,0.0,0.0
2109,Zero One Film,5.0,148461.0,29692.2
2110,Aamir Khan Productions,5.0,346530000.0,69306000.0
2111,Da Ma Produzione,5.0,27374384.0,5474876.8
2112,Royal Shakespeare Company,5.0,0.0,0.0
2113,National Lampoon Productions,5.0,527000.0,105400.0
2114,Forecast Pictures,5.0,24804129.0,4960825.8
2115,A&E IndieFilms,5.0,0.0,0.0
2116,Vértigo Films,5.0,21026290.0,4205258.0
2117,RTV Slovenija,5.0,0.0,0.0
2118,Enrique Cerezo Producciones Cinematográficas S.A.,5.0,0.0,0.0
2119,Lama Films,5.0,3473282.0,694656.4
2120,A. Film,5.0,0.0,0.0
2121,Prospero Pictures,5.0,42249396.0,8449879.2
2122,thefyzz,5.0,10542862.0,2108572.4
2123,Road Movies Filmproduktion GmbH,5.0,3200000.0,640000.0
2124,N1 European Film Produktions GmbH & Co. KG,5.0,11560806.0,2312161.2
2125,Impala,5.0,1622164.0,324432.8
2126,Harbor Productions,5.0,1500000.0,300000.0
2127,Telespan 2000,5.0,16044460.0,3208892.0
2128,Nova,5.0,0.0,0.0
2129,Furthur Films,5.0,212397573.0,42479514.6
2130,Sequoia Productions,5.0,96637565.0,19327513.0
2131,Pathé-Natan,5.0,0.0,0.0
2132,Crystal Sky Pictures,5.0,400167174.0,80033434.8
2133,Animal Logic,5.0,1432066592.0,286413318.4
2134,Camelot Pictures,5.0,145254986.0,29050997.2
2135,Sedic International,5.0,28767435.0,5753487.0
2136,BN Films,5.0,2801508.0,560301.6
2137,Viacom 18 Motion Pictures,5.0,25252000.0,5050400.0
2138,Libra Pictures,5.0,0.0,0.0
2139,Warner Bros. Family Entertainment,5.0,369590759.0,73918151.8
2140,Melenny Productions,5.0,0.0,0.0
2141,Warner Bros. Feature Animation,5.0,68514844.0,13702968.8
2142,Public Broadcasting Service (PBS),5.0,0.0,0.0
2143,Haos Film,5.0,0.0,0.0
2144,Spice Factory,5.0,7162406.0,1432481.2
2145,Dylan Sellers Productions,5.0,221226046.0,44245209.2
2146,C-Films AG,5.0,47748.0,9549.6
2147,Atlas Independent,5.0,0.0,0.0
2148,Prettybird,5.0,56825.0,11365.0
2149,Move Movie,5.0,0.0,0.0
2150,SenArt Films,5.0,8934004.0,1786800.8
2151,Région Aquitaine,5.0,23598.0,4719.6
2152,Lion's Gate Films,5.0,0.0,0.0
2153,Pig Newton,5.0,0.0,0.0
2154,Universal Home Entertainment,5.0,0.0,0.0
2155,A Contracorriente Films,5.0,1440000.0,288000.0
2156,Showgate,5.0,0.0,0.0
2157,Manson International,5.0,0.0,0.0
2158,ZDF Enterprises,5.0,110493361.0,22098672.2
2159,World 2000 Entertainment,5.0,377413654.0,75482730.8
2160,Brad Grey Pictures,5.0,662347581.0,132469516.2
2161,Prime Time,5.0,530048.0,106009.6
2162,"ZRF ""Kadr""",5.0,0.0,0.0
2163,2/35,5.0,0.0,0.0
2164,Anarchos Productions,5.0,601389739.0,120277947.8
2165,Blender Foundation,5.0,0.0,0.0
2166,Schweizerische Radio- und Fernsehgesellschaft (SRG),5.0,0.0,0.0
2167,BiBi Film,5.0,48125.0,9625.0
2168,Paper Street Films,5.0,1718920.0,343784.0
2169,Bullet Films,5.0,0.0,0.0
2170,Minerva Film SpA,5.0,0.0,0.0
2171,Bavaria Atelier,5.0,0.0,0.0
2172,British Film Company,5.0,37915971.0,7583194.2
2173,Pie Films,5.0,0.0,0.0
2174,Merced Media Partners,5.0,28206505.0,5641301.0
2175,Material Pictures,5.0,181802244.0,36360448.8
2176,A+E Studios,5.0,0.0,0.0
2177,Preferred Content,5.0,2572508.0,514501.6
2178,Euroimages Fund of the Council of Europe,5.0,26193068.0,5238613.6
2179,Associated British-Pathé,5.0,0.0,0.0
2180,Spring Films,5.0,777285.0,155457.0
2181,Super Crispy Entertainment,5.0,4473907.0,894781.4
2182,Claussen + Wöbke Filmproduktion GmbH,5.0,0.0,0.0
2183,Eagle Rock Entertainment,5.0,0.0,0.0
2184,WETA,5.0,273747.0,54749.4
2185,Tandem Communications,5.0,0.0,0.0
2186,MAFILM Stúdió 1,5.0,0.0,0.0
2187,Eddie Murphy Productions,5.0,1074791459.0,214958291.8
2188,Asylum Entertainment,5.0,0.0,0.0
2189,Palomar Pictures (II),5.0,136373551.0,27274710.2
2190,Omega Entertainment,5.0,6732980.0,1346596.0
2191,Ramsay Productions,5.0,0.0,0.0
2192,Riofilme,5.0,63027681.0,12605536.2
2193,Brillstein-Grey Entertainment,5.0,41205099.0,8241019.8
2194,China Film Group,5.0,1243619728.0,248723945.6
2195,Generator Entertainment,5.0,0.0,0.0
2196,Origin Pictures,5.0,89159469.0,17831893.8
2197,Phoenix Film Investments,5.0,15298355.0,3059671.0
2198,Idéale Audience,5.0,0.0,0.0
2199,Société Nouvelle des Établissements Gaumont (SNEG),5.0,0.0,0.0
2200,Cinegai S.p.A.,5.0,0.0,0.0
2201,Fox International Productions (FIP),5.0,20381995.0,4076399.0
2202,Werc Werk Works,5.0,2152237.0,430447.4
2203,Albina Productions S.a.r.l.,5.0,0.0,0.0
2204,Titan Productions,5.0,19658059.0,3931611.8
2205,Televisión de Galicia (TVG) S.A.,5.0,44681623.0,8936324.6
2206,Red Bull Media House,5.0,0.0,0.0
2207,Bifrost Pictures,5.0,3460466.0,692093.2
2208,Charles Band Productions,5.0,0.0,0.0
2209,Filmförderung Hamburg,5.0,94383206.0,18876641.2
2210,Silver Nitrate,5.0,4100000.0,820000.0
2211,Vinyl Films,5.0,449138780.0,89827756.0
2212,VEB DEFA-Studio für Spielfilme,5.0,0.0,0.0
2213,Film Par Film,5.0,0.0,0.0
2214,Waypoint Entertainment,5.0,88064259.0,17612851.8
2215,Ombra Films,5.0,120300758.0,24060151.6
2216,Broken Lizard Industries,5.0,42673986.0,8534797.2
2217,Evolution Entertainment,5.0,545175754.0,109035150.8
2218,Memento Films International,5.0,314200.0,62840.0
2219,Eichberg-Film,5.0,0.0,0.0
2220,Block 2 Pictures,5.0,98718427.0,19743685.4
2221,Kinology,5.0,250000.0,50000.0
2222,Fierce Entertainment,5.0,52808441.0,10561688.2
2223,Aldamisa Entertainment,5.0,54430613.0,10886122.6
2224,Romanian National Center for Cinematography,5.0,145585.0,29117.0
2225,Tokuma Shoten,5.0,0.0,0.0
2226,Prana Studios,5.0,574799091.0,114959818.2
2227,Film- und Medienstiftung NRW,5.0,250000.0,50000.0
2228,Ministero del Turismo e dello Spettacolo,5.0,0.0,0.0
2229,Douglas Fairbanks Pictures,5.0,1213880.0,242776.0
2230,Bulbul Films,5.0,0.0,0.0
2231,TMS,5.0,862.0,172.4
2232,UFO International Productions,5.0,0.0,0.0
2233,Universal Film Manufacturing Company,5.0,400200.0,80040.0
2234,KC Medien,5.0,208103823.0,41620764.6
2235,Will Packer Productions,5.0,291326484.0,58265296.8
2236,M&M Productions,5.0,0.0,0.0
2237,Strix Drama AB,5.0,0.0,0.0
2238,Film House Bas Celik,5.0,0.0,0.0
2239,Les Productions Lazennec,5.0,0.0,0.0
2240,Mainframe Entertainment,5.0,74597643.0,14919528.6
2241,Bioskop-Film GmbH,5.0,0.0,0.0
2242,C.A.P.A.C.,5.0,0.0,0.0
2243,Stefano Film,5.0,0.0,0.0
2244,Woods Entertainment,5.0,217908850.0,43581770.0
2245,ESPN films,5.0,10367161.0,2073432.2
2246,Lava Bear Films,5.0,258821119.0,51764223.8
2247,Chaocorp,5.0,494210259.0,98842051.8
2248,"Sommers Company, The",5.0,701386114.0,140277222.8
2249,VIP 2 Medienfonds,5.0,75826376.0,15165275.2
2250,CNN Films,5.0,494506.0,98901.2
2251,Urania Film,5.0,0.0,0.0
2252,Associated General Films,5.0,0.0,0.0
2253,Flynn Picture Company,5.0,914353058.0,182870611.6
2254,Fuzzy Door Productions,5.0,766390903.0,153278180.6
2255,Cloud Eight Films,5.0,202596979.0,40519395.8
2256,Division Films,5.0,32709291.0,6541858.2
2257,Société Parisienne de Production,5.0,30968.0,6193.6
2258,Spectacle Entertainment Group,5.0,137284740.0,27456948.0
2259,Marianna Films,5.0,0.0,0.0
2260,Taewon Entertainment,5.0,20967660.0,4193532.0
2261,Two 4 The Money Media,5.0,0.0,0.0
2262,Casablanca Filmworks,5.0,49400000.0,9880000.0
2263,Reliance Big Pictures,5.0,13900000.0,2780000.0
2264,Antidote Films (I),5.0,41236061.0,8247212.2
2265,Pathé Films,5.0,25008837.0,5001767.4
2266,Management 360,5.0,228007842.0,45601568.4
2267,Denver and Delilah Productions,5.0,113360220.0,22672044.0
2268,Unité Trois,5.0,0.0,0.0
2269,Rai 1,5.0,183700.0,36740.0
2270,"Geffen Company, The",5.0,147477764.0,29495552.8
2271,Filmcoopi Zürich,5.0,22889018.0,4577803.6
2272,Sahamongkolfilm Co.,5.0,3302478.0,660495.6
2273,Inferno Distribution,5.0,176829971.0,35365994.2
2274,BorderLine Films,5.0,3538446.0,707689.2
2275,Amrion,5.0,0.0,0.0
2276,Stéphan Films,5.0,55260558.0,11052111.6
2277,Flaminia Produzioni Cinematografiche,5.0,0.0,0.0
2278,Radio Televisión Española (RTVE),5.0,5000000.0,1000000.0
2279,Snowfall Films,5.0,176153.0,35230.6
2280,Besiktas Kültür Merkezi (BKM),5.0,13954476.0,2790895.2
2281,Cofinova 5,5.0,0.0,0.0
2282,Lions Gate Entertainments,5.0,10000000.0,2000000.0
2283,De Grunwald Productions,5.0,0.0,0.0
2284,Chockstone Pictures,5.0,200078696.0,40015739.2
2285,Taodue Film,5.0,0.0,0.0
2286,Kasdan Pictures,5.0,522217492.0,104443498.4
2287,Virtual Films,5.0,10580892.0,2116178.4
2288,SLB Films,5.0,103536328.0,20707265.6
2289,Filmpartners,5.0,282358.0,56471.6
2290,Grand National Pictures,5.0,0.0,0.0
2291,Sun Entertainment Culture,5.0,0.0,0.0
2292,Roger Birnbaum Productions,5.0,249016663.0,49803332.6
2293,Atlantis Films,5.0,0.0,0.0
2294,Movie Central,5.0,64352607.0,12870521.4
2295,Nikola Film,5.0,0.0,0.0
2296,Indy Entertainment,5.0,0.0,0.0
2297,iDeal Partners Film Fund,5.0,56404.0,11280.8
2298,Creative England,5.0,5725239.0,1145047.8
2299,Right of Way Films,5.0,199477566.0,39895513.2
2300,La Banque Postale Image 8,5.0,530392.0,106078.4
2301,A.J.O.Z. Films,5.0,71462171.0,14292434.2
2302,Molinare Studios,5.0,25345000.0,5069000.0
2303,Nero Films,5.0,0.0,0.0
2304,Echo Films,5.0,54760572.0,10952114.4
2305,Les Films Copernic,5.0,0.0,0.0
2306,Mandalay Television,5.0,0.0,0.0
2307,Braun Entertainment Group,5.0,0.0,0.0
2308,Larry Darmour Productions,5.0,0.0,0.0
2309,Palatine Étoile 12,5.0,530392.0,106078.4
2310,La Sept,5.0,0.0,0.0
2311,Parallel Films,5.0,0.0,0.0
2312,Bruin Grip Services,5.0,0.0,0.0
2313,Jesse L. Lasky Feature Play Company,5.0,137365.0,27473.0
2314,Alliance Entertainment,5.0,3500000.0,700000.0
2315,Kojo Pictures,5.0,56000.0,11200.0
2316,Albatros Filmproduktion,5.0,0.0,0.0
2317,A Private View,5.0,0.0,0.0
2318,Blueprint Pictures,5.0,142080351.0,28416070.2
2319,TV2 Norge,5.0,0.0,0.0
2320,Wind Dancer Productions,5.0,383318177.0,76663635.4
2321,K/O Paper Products,5.0,931026316.0,186205263.2
2322,Seagal/Nasso Productions,5.0,159997244.0,31999448.8
2323,Mayhem Pictures,5.0,366304481.0,73260896.2
2324,Twins Japan,5.0,0.0,0.0
2325,Soudaine Compagnie,5.0,0.0,0.0
2326,Ceskoslovenský Filmexport,5.0,0.0,0.0
2327,Barclays Mercantile Industrial Finance,5.0,57118285.0,11423657.0
2328,Incendo Productions,5.0,0.0,0.0
2329,Zeta Entertainment,5.0,0.0,0.0
2330,Cofinova 3,5.0,0.0,0.0
2331,Scena Film,5.0,0.0,0.0
2332,Sandcastle 5 Productions,5.0,840000.0,168000.0
2333,Sandbar Pictures,5.0,643557.0,128711.4
2334,Lightning Entertainment,5.0,0.0,0.0
2335,Redeemable Features,5.0,16757163.0,3351432.6
2336,Metheus Film,5.0,0.0,0.0
2337,TIK Films,5.0,683067263.0,136613452.6
2338,42 Km Film,5.0,81806.0,16361.2
2339,Paradox Spillefilm A/S,5.0,0.0,0.0
2340,Keith Barish Productions,5.0,71928095.0,14385619.0
2341,Radiant Productions,5.0,1413697715.0,282739543.0
2342,Ministère de la Culture,5.0,7191399.0,1438279.8
2343,Thirukumaran Entertainment,5.0,18300000.0,3660000.0
2344,Utopia Pictures,5.0,0.0,0.0
2345,Cine Bazar,5.0,108244858.0,21648971.6
2346,ETIC Films,5.0,130253242.0,26050648.4
2347,UFA Fiction,5.0,0.0,0.0
2348,Lucky Monkey Pictures,5.0,42155768.0,8431153.6
2349,Present Pictures,5.0,0.0,0.0
2350,Apipoulaï,5.0,86926594.0,17385318.8
2351,360 Pictures,5.0,16783664.0,3356732.8
2352,Personafilm,5.0,0.0,0.0
2353,Henson Associates (HA),5.0,129963918.0,25992783.6
2354,Madman Entertainment,5.0,1192008.0,238401.6
2355,Pygmalion Production,5.0,4814998.0,962999.6
2356,Warp X,5.0,171760.0,34352.0
2357,Claudia Cinematografica,5.0,0.0,0.0
2358,The Mount Company,5.0,75993454.0,15198690.8
2359,Loew's Incorporated,5.0,33754967.0,6750993.4
2360,Original Media,5.0,5427864.0,1085572.8
2361,Cannon Pictures,5.0,9538951.0,1907790.2
2362,The Film Consortium,5.0,14.0,2.8
2363,Stanley Kubrick Productions,5.0,513075436.0,102615087.2
2364,Simcom Limited,5.0,17479755.0,3495951.0
2365,Stellar Mega Films,5.0,5290.0,1058.0
2366,Capital Films,5.0,36782781.0,7356556.2
2367,Rizoma Films,5.0,0.0,0.0
2368,UGC Images,5.0,27354.0,5470.8
2369,Solana Films,5.0,805752014.0,161150402.8
2370,Mobra Films,5.0,1654319.0,330863.8
2371,Black Camel Pictures,5.0,0.0,0.0
2372,Entertainment Motion Pictures,5.0,6399.0,1279.8
2373,Roger Corman Productions,5.0,0.0,0.0
2374,Vitagraph Company of America,5.0,0.0,0.0
2375,Bosna Film,5.0,0.0,0.0
2376,Peter Walker (Heritage) Ltd.,5.0,0.0,0.0
2377,Hecht-Lancaster Productions,5.0,3000000.0,600000.0
2378,Campfire,5.0,28281.0,5656.2
